param remaining_years : 2015_2020 2020_2025 2025_2030 2030_2035 := 
TS_DEC_ADVCOGEN_H2 	2.5	7.5	12.5	17.5	
TS_DEC_BOILER_GAS 	2.5	7.5	12.5	17.5	
TS_DEC_BOILER_WOOD 	2.5	7.5	12.5	17.5	
TS_DEC_BOILER_OIL 	2.5	7.5	12.5	17.5	
TS_DHN_DAILY	22.5	27.5	32.5	37.5	
TS_DHN_SEASONAL	7.5	12.5	17.5	22.5	
TS_HIGH_TEMP	7.5	12.5	17.5	22.5	
GAS_STORAGE	32.5	37.5	42.5	47.5	
H2_STORAGE	2.5	7.5	12.5	17.5	
DIESEL_STORAGE	2.5	7.5	12.5	17.5	
GASOLINE_STORAGE	2.5	7.5	12.5	17.5	
LFO_STORAGE	2.5	7.5	12.5	17.5	
AMMONIA_STORAGE	2.5	7.5	12.5	17.5	
METHANOL_STORAGE	2.5	7.5	12.5	17.5	
CO2_STORAGE	12.5	17.5	22.5	27.5	
; 
